MH32 (8.71%)
  1.00000  0.00000
  0.99672  0.00035
  0.98706  0.00150
  0.97145  0.00363
  0.95035  0.00676
  0.92423  0.01084
  0.89361  0.01573
  0.85898  0.02123
  0.82086  0.02714
  0.77973  0.03319
  0.73604  0.03910
  0.69017  0.04467
  0.64252  0.04977
  0.59354  0.05432
  0.54374  0.05830
  0.49372  0.06161
  0.44401  0.06409
  0.39503  0.06565
  0.34730  0.06627
  0.30128  0.06586
  0.25734  0.06439
  0.21589  0.06192
  0.17735  0.05844
  0.14203  0.05398
  0.11019  0.04861
  0.08208  0.04245
  0.05792  0.03562
  0.03783  0.02829
  0.02193  0.02067
  0.01026  0.01308
  0.00289  0.00595
  0.00100  0.00004
  0.00000  0.00000
  0.00281 -0.00462
  0.01171 -0.00882
  0.02583 -0.01270
  0.04500 -0.01604
  0.06906 -0.01873
  0.09783 -0.02074
  0.13106 -0.02206
  0.16847 -0.02271
  0.20969 -0.02274
  0.25432 -0.02223
  0.30188 -0.02126
  0.35184 -0.01990
  0.40366 -0.01824
  0.45647 -0.01634
  0.51048 -0.01429
  0.56428 -0.01216
  0.61750 -0.01003
  0.66952 -0.00797
  0.71971 -0.00605
  0.76746 -0.00433
  0.81218 -0.00286
  0.85329 -0.00169
  0.89023 -0.00082
  0.92250 -0.00026
  0.94964  0.00003
  0.97125  0.00012
  0.98701  0.00011
  0.99670  0.00005
  1.00000  0.00000
